link,movie_name,ranking,score,score_num
,,,,
https://movie.douban.com/subject/24773958/,复仇者联盟3：无限战争,24773958,8.1,385756
,,,,
https://movie.douban.com/subject/1292052/,肖申克的救赎,1292052,9.6,1136694
,,,,
https://movie.douban.com/subject/26683290/,你的名字。,26683290,8.4,556641
,,,,
https://movie.douban.com/subject/1295644/,这个杀手不太冷,1295644,9.4,1051126
,,,,
https://movie.douban.com/subject/3319755/,怦然心动,3319755,9,707036
,,,,
https://movie.douban.com/subject/26861685/,红海行动,26861685,8.3,466905
,,,,
https://movie.douban.com/subject/1291546/,霸王别姬,1291546,9.5,828987
,,,,
https://movie.douban.com/subject/26387939/,摔跤吧！爸爸,26387939,9.1,592492
,,,,
https://movie.douban.com/subject/1292722/,泰坦尼克号,1292722,9.3,833889
,,,,
https://movie.douban.com/subject/20495023/,寻梦环游记,20495023,9,558821
,,,,
https://movie.douban.com/subject/3541415/,盗梦空间,3541415,9.3,921565
,,,,
https://movie.douban.com/subject/4920389/,头号玩家,4920389,8.7,528838
,,,,
https://movie.douban.com/subject/1889243/,星际穿越,1889243,9.2,616090
,,,,
https://movie.douban.com/subject/3011091/,忠犬八公的故事,3011091,9.3,587951
,,,,
https://movie.douban.com/subject/26325320/,血战钢锯岭,26325320,8.7,367895
,,,,
https://movie.douban.com/subject/25986180/,釜山行,25986180,8.3,416944
,,,,
https://movie.douban.com/subject/1292720/,阿甘正传,1292720,9.4,897278
,,,,
https://movie.douban.com/subject/25662329/,疯狂动物城,25662329,9.1,664747
,,,,
https://movie.douban.com/subject/3742360/,让子弹飞,3742360,8.7,741051
,,,,
https://movie.douban.com/subject/4920528/,那些年，我们一起追的女孩,4920528,8.1,554430
,,,,
https://movie.douban.com/subject/1291561/,千与千寻,1291561,9.3,833447
,,,,
https://movie.douban.com/subject/1292213/,大话西游之大圣娶亲,1292213,9.2,618400
,,,,
https://movie.douban.com/subject/1306249/,唐伯虎点秋香,1306249,8.4,390953
,,,,
https://movie.douban.com/subject/25934014/,爱乐之城,25934014,8.3,411599
,,,,
https://movie.douban.com/subject/1307914/,无间道,1307914,9.1,503383
,,,,
https://movie.douban.com/subject/26611804/,三块广告牌,26611804,8.7,328517
,,,,
https://movie.douban.com/subject/2131459/,机器人总动员,2131459,9.3,608157
,,,,
https://movie.douban.com/subject/3793023/,三傻大闹宝莱坞,3793023,9.2,827250
,,,,
https://movie.douban.com/subject/1292215/,天使爱美丽,1292215,8.7,551782
,,,,
https://movie.douban.com/subject/1866479/,复仇者联盟,1866479,8,375465
,,,,
https://movie.douban.com/subject/27024903/,天才枪手,27024903,8.1,359561
,,,,
https://movie.douban.com/subject/1293839/,罗马假日,1293839,8.9,457966
,,,,
https://movie.douban.com/subject/1851857/,蝙蝠侠：黑暗骑士,1851857,9.1,407141
,,,,
https://movie.douban.com/subject/1292343/,蝴蝶效应,1292343,8.7,442224
,,,,
https://movie.douban.com/subject/1299398/,大话西游之月光宝盒,1299398,8.9,497421
,,,,
https://movie.douban.com/subject/1297447/,倩女幽魂,1297447,8.6,301297
,,,,
https://movie.douban.com/subject/25864085/,火星救援,25864085,8.4,335694
,,,,
https://movie.douban.com/subject/1849031/,当幸福来敲门,1849031,9,661977
,,,,
https://movie.douban.com/subject/1292001/,海上钢琴师,1292001,9.2,696395
,,,,
https://movie.douban.com/subject/1787291/,被嫌弃的松子的一生,1787291,8.9,350189
,,,,
https://movie.douban.com/subject/6786002/,触不可及,6786002,9.2,446747
,,,,
https://movie.douban.com/subject/21937445/,辩护人,21937445,9.2,265177
,,,,
https://movie.douban.com/subject/2334904/,禁闭岛,2334904,8.7,420733
,,,,
https://movie.douban.com/subject/25921812/,驴得水,25921812,8.3,376802
,,,,
https://movie.douban.com/subject/26787574/,奇迹男孩,26787574,8.6,201326
,,,,
https://movie.douban.com/subject/1907966/,疯狂原始人,1907966,8.7,417082
,,,,
https://movie.douban.com/subject/26614893/,完美陌生人,26614893,8.6,235336
,,,,
https://movie.douban.com/subject/1309046/,V字仇杀队,1309046,8.8,503039
,,,,
https://movie.douban.com/subject/2129039/,飞屋环游记,2129039,8.9,602026
,,,,
https://movie.douban.com/subject/1292328/,东邪西毒,1292328,8.6,287016
,,,,
https://movie.douban.com/subject/26799731/,请以你的名字呼唤我,26799731,8.8,215108
,,,,
https://movie.douban.com/subject/4023638/,国王的演讲,4023638,8.3,371629
,,,,
https://movie.douban.com/subject/1292370/,剪刀手爱德华,1292370,8.7,557307
,,,,
https://movie.douban.com/subject/1291843/,黑客帝国,1291843,8.9,332700
,,,,
https://movie.douban.com/subject/4917726/,阳光姐妹淘,4917726,8.8,308605
,,,,
https://movie.douban.com/subject/1295124/,辛德勒的名单,1295124,9.4,473183
,,,,
https://movie.douban.com/subject/10485647/,X战警：逆转未来,10485647,8.2,281898
,,,,
https://movie.douban.com/subject/1302425/,喜剧之王,1302425,8.6,373027
,,,,
https://movie.douban.com/subject/1652587/,阿凡达,1652587,8.6,607310
,,,,
https://movie.douban.com/subject/3395373/,蝙蝠侠：黑暗骑士崛起,3395373,8.6,332176
,,,,
https://movie.douban.com/subject/25980443/,海边的曼彻斯特,25980443,8.6,231748
,,,,
https://movie.douban.com/subject/1291560/,龙猫,1291560,9.1,513220
,,,,
https://movie.douban.com/subject/26761416/,至暗时刻,26761416,8.5,173986
,,,,
https://movie.douban.com/subject/1292365/,活着,1292365,9.1,337034
,,,,
https://movie.douban.com/subject/10512661/,银翼杀手2049,10512661,8.3,230627
,,,,
https://movie.douban.com/subject/2043546/,秒速5厘米,2043546,8.3,336347
,,,,
https://movie.douban.com/subject/5912992/,熔炉,5912992,9.2,343533
,,,,
https://movie.douban.com/subject/1291543/,功夫,1291543,8.1,324802
,,,,
https://movie.douban.com/subject/11525673/,布达佩斯大饭店,11525673,8.8,380758
,,,,
https://movie.douban.com/subject/1292223/,七宗罪,1292223,8.7,495396
,,,,
https://movie.douban.com/subject/1978709/,黑天鹅,1978709,8.5,465300
,,,,
https://movie.douban.com/subject/1297574/,英雄本色,1297574,8.6,198743
,,,,
https://movie.douban.com/subject/1301753/,狮子王,1301753,8.9,334327
,,,,
https://movie.douban.com/subject/1292402/,西西里的美丽传说,1292402,8.8,421158
,,,,
https://movie.douban.com/subject/25983044/,比利・林恩的中场战事,25983044,8.4,237896
,,,,
https://movie.douban.com/subject/3011051/,恐怖游轮,3011051,8.4,368740
,,,,
https://movie.douban.com/subject/11026735/,超能陆战队,11026735,8.6,428707
,,,,
https://movie.douban.com/subject/1291841/,教父,1291841,9.2,417680
,,,,
https://movie.douban.com/subject/21318488/,消失的爱人,21318488,8.7,415342
,,,,
https://movie.douban.com/subject/1793929/,达拉斯买家俱乐部,1793929,8.7,210148
,,,,
https://movie.douban.com/subject/1291579/,怪兽电力公司,1291579,8.6,280945
,,,,
https://movie.douban.com/subject/4268598/,告白,4268598,8.7,390990
,,,,
https://movie.douban.com/subject/1828115/,色，戒,1828115,8.2,282564
,,,,
https://movie.douban.com/subject/1292220/,情书,1292220,8.8,437217
,,,,
https://movie.douban.com/subject/3287562/,神偷奶爸,3287562,8.5,441861
,,,,
https://movie.douban.com/subject/1293544/,沉默的羔羊,1293544,8.8,405942
,,,,
https://movie.douban.com/subject/10463953/,模仿游戏,10463953,8.6,287727
,,,,
https://movie.douban.com/subject/1295038/,哈利・波特与魔法石,1295038,8.8,320054
,,,,
https://movie.douban.com/subject/25724855/,房间,25724855,8.8,180124
,,,,
https://movie.douban.com/subject/1291858/,鬼子来了,1291858,9.2,284959
,,,,
https://movie.douban.com/subject/1291999/,重庆森林,1291999,8.7,384319
,,,,
https://movie.douban.com/subject/1291832/,低俗小说,1291832,8.8,392880
,,,,
https://movie.douban.com/subject/25917973/,心迷宫,25917973,8.6,210694
,,,,
https://movie.douban.com/subject/1308807/,哈尔的移动城堡,1308807,8.9,427278
,,,,
https://movie.douban.com/subject/10577869/,时空恋旅人,10577869,8.6,234827
,,,,
https://movie.douban.com/subject/1293359/,菊次郎的夏天,1293359,8.7,216413
,,,,
https://movie.douban.com/subject/1306029/,美丽心灵,1306029,8.9,356900
,,,,
https://movie.douban.com/subject/25765735/,金刚狼3：殊死一战,25765735,8.3,270316
,,,,
https://movie.douban.com/subject/5989818/,萤火之森,5989818,8.8,188426
,,,,
https://movie.douban.com/subject/26640371/,犬之岛,26640371,8.3,115139
,,,,
https://movie.douban.com/subject/1305487/,猫鼠游戏,1305487,8.8,280411
,,,,
https://movie.douban.com/subject/25807345/,彗星来的那一夜,25807345,8.4,207443
,,,,
https://movie.douban.com/subject/26628357/,一个叫欧维的男人决定去死,26628357,8.7,143135
,,,,
https://movie.douban.com/subject/3068206/,碟中谍4,3068206,8.2,279482
,,,,
https://movie.douban.com/subject/1291583/,天空之城,1291583,9,396947
,,,,
https://movie.douban.com/subject/1303394/,青蛇,1303394,8.5,249019
,,,,
https://movie.douban.com/subject/1309163/,恋恋笔记本,1309163,8.5,320303
,,,,
https://movie.douban.com/subject/1780330/,致命魔术,1780330,8.8,402223
,,,,
https://movie.douban.com/subject/26416603/,萨利机长,26416603,8.3,163719
,,,,
https://movie.douban.com/subject/25773932/,爆裂鼓手,25773932,8.6,267498
,,,,
https://movie.douban.com/subject/1291548/,死亡诗社,1291548,9,333795
,,,,
https://movie.douban.com/subject/1291571/,指环王1：魔戒再现,1291571,8.9,356766
,,,,
https://movie.douban.com/subject/3792799/,岁月神偷,3792799,8.6,338715
,,,,
https://movie.douban.com/subject/26340419/,帕丁顿熊2,26340419,8.1,121273
,,,,
https://movie.douban.com/subject/4286017/,速度与激情5,4286017,8.4,226958
,,,,
https://movie.douban.com/subject/1291552/,指环王3：王者无敌,1291552,9.1,339528
,,,,
https://movie.douban.com/subject/1418834/,断背山,1418834,8.7,368231
,,,,
https://movie.douban.com/subject/27113517/,血观音,27113517,8.2,104858
,,,,
https://movie.douban.com/subject/1291875/,阳光灿烂的日子,1291875,8.8,316109
,,,,
https://movie.douban.com/subject/1292401/,真爱至上,1292401,8.5,349246
,,,,
https://movie.douban.com/subject/10533913/,头脑特工队,10533913,8.7,263691
,,,,
https://movie.douban.com/subject/25895901/,海街日记,25895901,8.7,155703
,,,,
https://movie.douban.com/subject/3008247/,穿条纹睡衣的男孩,3008247,8.9,181532
,,,,
https://movie.douban.com/subject/6874403/,再次出发之纽约遇见你,6874403,8.5,194742
,,,,
https://movie.douban.com/subject/1291557/,花样年华,1291557,8.5,277035
,,,,
https://movie.douban.com/subject/1291818/,饮食男女,1291818,9.1,243632
,,,,
https://movie.douban.com/subject/2149806/,入殓师,2149806,8.8,352615
,,,,
https://movie.douban.com/subject/1308779/,后天,1308779,8.1,235417
,,,,
https://movie.douban.com/subject/6985810/,狩猎,6985810,9.1,156813
,,,,
https://movie.douban.com/subject/1294639/,勇敢的心,1294639,8.8,331919
,,,,
https://movie.douban.com/subject/1295409/,纵横四海,1295409,8.7,170574
,,,,
https://movie.douban.com/subject/1438652/,无耻混蛋,1438652,8.5,244844
,,,,
https://movie.douban.com/subject/1862151/,疯狂的石头,1862151,8.3,354583
,,,,
https://movie.douban.com/subject/1300267/,乱世佳人,1300267,9.2,320459
,,,,
https://movie.douban.com/subject/1291572/,指环王2：双塔奇兵,1291572,9,318657
,,,,
https://movie.douban.com/subject/24750126/,荒蛮故事,24750126,8.8,168368
,,,,
https://movie.douban.com/subject/1291545/,大鱼,1291545,8.7,289009
,,,,
https://movie.douban.com/subject/3011235/,哈利・波特与死亡圣器(下),3011235,8.7,313375
,,,,
https://movie.douban.com/subject/1292286/,我的野蛮女友,1292286,8.1,290527
,,,,
https://movie.douban.com/subject/2222996/,步履不停,2222996,8.8,97754
,,,,
https://movie.douban.com/subject/1308857/,可可西里,1308857,8.7,143570
,,,,
https://movie.douban.com/subject/1292224/,飞越疯人院,1292224,9,317522
,,,,
https://movie.douban.com/subject/5322596/,超脱,5322596,8.8,202628
,,,,
https://movie.douban.com/subject/1293350/,两杆大烟枪,1293350,9.1,314343
,,,,
https://movie.douban.com/subject/1858711/,玩具总动员3,1858711,8.8,215374
,,,,
https://movie.douban.com/subject/3006772/,第九区,3006772,8.2,246707
,,,,
https://movie.douban.com/subject/1418019/,大闹天宫,1418019,9.3,126229
,,,,
https://movie.douban.com/subject/1301168/,卧虎藏龙,1301168,8,200131
,,,,
https://movie.douban.com/subject/6534248/,无敌破坏王,6534248,8.7,207209
,,,,
https://movie.douban.com/subject/1292337/,无人知晓,1292337,9.1,83713
,,,,
https://movie.douban.com/subject/3075287/,源代码,3075287,8.4,445279
,,,,
https://movie.douban.com/subject/1292679/,春光乍泄,1292679,8.8,290057
,,,,
https://movie.douban.com/subject/25954475/,聚焦,25954475,8.8,142697
,,,,
https://movie.douban.com/subject/26277313/,西游记之大圣归来,26277313,8.2,410229
,,,,
https://movie.douban.com/subject/6722879/,她,6722879,8.3,243788
,,,,
https://movie.douban.com/subject/10831445/,百鸟朝凤,10831445,8,128437
,,,,
https://movie.douban.com/subject/3804891/,无人区,3804891,8.1,299350
,,,,
https://movie.douban.com/subject/1294371/,摩登时代,1294371,9.2,107547
,,,,
https://movie.douban.com/subject/2209573/,贫民窟的百万富翁,2209573,8.5,433112
,,,,
https://movie.douban.com/subject/1291879/,罗生门,1291879,8.7,142093
,,,,
https://movie.douban.com/subject/2133323/,白日梦想家,2133323,8.3,169448
,,,,
https://movie.douban.com/subject/1297630/,第六感,1297630,8.8,269646
,,,,
https://movie.douban.com/subject/1578507/,谍影重重3,1578507,8.7,204357
,,,,
https://movie.douban.com/subject/1308817/,两小无猜,1308817,8.1,332786
,,,,
https://movie.douban.com/subject/1292287/,新龙门客栈,1292287,8.5,206972
,,,,
https://movie.douban.com/subject/26259677/,垫底辣妹,26259677,8.1,181469
,,,,
https://movie.douban.com/subject/26773744/,相爱相亲,26773744,8.4,98443
,,,,
https://movie.douban.com/subject/1291990/,爱在日落黄昏时,1291990,8.8,226990
,,,,
https://movie.douban.com/subject/1291578/,冰川时代,1291578,8.5,306534
,,,,
https://movie.douban.com/subject/1304073/,假如爱有天意,1304073,8.2,248322
,,,,
https://movie.douban.com/subject/1293182/,十二怒汉,1293182,9.4,205211
,,,,
https://movie.douban.com/subject/1316510/,射雕英雄传之东成西就,1316510,8.7,314855
,,,,
https://movie.douban.com/subject/1305690/,阿飞正传,1305690,8.5,233986
,,,,
https://movie.douban.com/subject/10808442/,爱在午夜降临前,10808442,8.8,131253
,,,,
https://movie.douban.com/subject/1292225/,闪灵,1292225,8,174335
,,,,
https://movie.douban.com/subject/1760622/,香水,1760622,8.4,306140
,,,,
https://movie.douban.com/subject/1302827/,人工智能,1302827,8.6,212646
,,,,
https://movie.douban.com/subject/3824672/,听说,3824672,8.1,292624
,,,,
https://movie.douban.com/subject/3072086/,和莎莫的500天,3072086,8,329049
,,,,
https://movie.douban.com/subject/1294408/,音乐之声,1294408,8.9,268950
,,,,
https://movie.douban.com/subject/1294638/,E.T. 外星人,1294638,8.5,170266
,,,,
https://movie.douban.com/subject/2369845/,嫌疑人X的献身,2369845,8.3,141837
,,,,
https://movie.douban.com/subject/1292659/,变脸,1292659,8.4,233229
,,,,
https://movie.douban.com/subject/2300586/,这个男人来自地球,2300586,8.5,201812
,,,,
https://movie.douban.com/subject/25837262/,至爱梵高・星空之谜,25837262,8.5,124852
,,,,
https://movie.douban.com/subject/1308575/,蓝色大门,1308575,8.3,289360
,,,,
https://movie.douban.com/subject/1296736/,钢琴家,1296736,9,235285
,,,,
https://movie.douban.com/subject/1297052/,侧耳倾听,1297052,8.8,199067
,,,,
https://movie.douban.com/subject/1292262/,美国往事,1292262,9.1,204049
,,,,
https://movie.douban.com/subject/3072124/,玛丽和马克思,3072124,8.9,255661
,,,,
https://movie.douban.com/subject/1297359/,幽灵公主,1297359,8.8,270417
,,,,
https://movie.douban.com/subject/1293964/,魂断蓝桥,1293964,8.8,142234
,,,,
https://movie.douban.com/subject/24815950/,万物理论,24815950,8.2,139153
,,,,
https://movie.douban.com/subject/1905462/,荒野生存,1905462,8.6,138505
,,,,
https://movie.douban.com/subject/4876722/,钢的琴,4876722,8.4,191254
,,,,
https://movie.douban.com/subject/1304102/,谍影重重,1304102,8.5,213966
,,,,
https://movie.douban.com/subject/1308767/,谍影重重2,1308767,8.6,177726
,,,,
https://movie.douban.com/subject/1297518/,九品芝麻官,1297518,8.2,215780
,,,,
https://movie.douban.com/subject/10741643/,我的个神啊,10741643,8.4,202433
,,,,
https://movie.douban.com/subject/1296996/,哈利・波特与密室,1296996,8.3,207428
,,,,
https://movie.douban.com/subject/1388216/,撞车,1388216,8.6,189950
,,,,
https://movie.douban.com/subject/10757577/,卡罗尔,10757577,8.2,143717
,,,,
https://movie.douban.com/subject/1794171/,变形金刚,1794171,8.1,268079
,,,,
https://movie.douban.com/subject/24875534/,十二公民,24875534,8.3,156171
,,,,
https://movie.douban.com/subject/1291580/,杀死比尔,1291580,8.1,220316
,,,,
https://movie.douban.com/subject/3734112/,风声,3734112,8.1,300754
,,,,
https://movie.douban.com/subject/1303021/,小鞋子,1303021,9.2,168091
,,,,
https://movie.douban.com/subject/2973079/,霍比特人3：五军之战,2973079,8.2,213128
,,,,
https://movie.douban.com/subject/1292217/,穆赫兰道,1292217,8.3,254913
,,,,
https://movie.douban.com/subject/4202302/,借东西的小人阿莉埃蒂,4202302,8.7,247348
,,,,
https://movie.douban.com/subject/1865703/,红辣椒,1865703,8.9,159080
,,,,
https://movie.douban.com/subject/1307811/,魔女宅急便,1307811,8.5,219353
,,,,
https://movie.douban.com/subject/5964718/,一次别离,5964718,8.7,145752
,,,,
https://movie.douban.com/subject/26354572/,欢乐好声音,26354572,8.1,146779
,,,,
https://movie.douban.com/subject/5977835/,桃姐,5977835,8.3,207573
,,,,
https://movie.douban.com/subject/1966182/,霍比特人1：意外之旅,1966182,8.2,244206
,,,,
https://movie.douban.com/subject/1305164/,甜蜜蜜,1305164,8.8,260949
,,,,
https://movie.douban.com/subject/20645098/,小王子,20645098,8.1,160652
,,,,
https://movie.douban.com/subject/1315574/,加勒比海盗2：聚魂棺,1315574,8.1,221099
,,,,
https://movie.douban.com/subject/6860160/,悲惨世界,6860160,8.5,222443
,,,,
https://movie.douban.com/subject/2209575/,少年时代,2209575,8.5,147837
,,,,
https://movie.douban.com/subject/1867345/,遗愿清单,1867345,8.5,145688
,,,,
https://movie.douban.com/subject/25919910/,师父,25919910,8.1,165431
,,,,
https://movie.douban.com/subject/1309055/,哈利・波特与火焰杯,1309055,8.2,187382
,,,,
https://movie.douban.com/subject/1417598/,电锯惊魂,1417598,8.7,223257
,,,,
https://movie.douban.com/subject/11606328/,霍比特人2：史矛革之战,11606328,8.2,212236
,,,,
https://movie.douban.com/subject/1298653/,荒岛余生,1298653,8.5,149682
,,,,
https://movie.douban.com/subject/3168089/,X战警：第一战,3168089,8.2,207649
,,,,
https://movie.douban.com/subject/2213597/,朗读者,2213597,8.5,299577
,,,,
https://movie.douban.com/subject/1307739/,国产凌凌漆,1307739,8.2,184608
,,,,
https://movie.douban.com/subject/1294240/,教父3,1294240,8.8,150122
,,,,
https://movie.douban.com/subject/1305725/,大卫・戈尔的一生,1305725,8.6,105368
,,,,
https://movie.douban.com/subject/1292728/,勇闯夺命岛,1292728,8.6,154754
,,,,
https://movie.douban.com/subject/1293318/,萤火虫之墓,1293318,8.7,229323
,,,,
https://movie.douban.com/subject/1292233/,发条橙,1292233,8.5,202023
,,,,
https://movie.douban.com/subject/6549903/,逃离德黑兰,6549903,8.2,181808
,,,,
https://movie.douban.com/subject/20470074/,言叶之庭,20470074,8.2,140177
,,,,
https://movie.douban.com/subject/1418192/,加勒比海盗3：世界的尽头,1418192,8.1,206554
,,,,
https://movie.douban.com/subject/2365260/,爱在暹罗,2365260,8.3,225787
,,,,
https://movie.douban.com/subject/1303173/,甲方乙方,1303173,8.3,155419
,,,,
https://movie.douban.com/subject/1293088/,小鬼当家,1293088,8.1,210751
,,,,
https://movie.douban.com/subject/1309069/,蝙蝠侠：侠影之谜,1309069,8.3,159629
,,,,
https://movie.douban.com/subject/2124586/,飓风营救,2124586,8.2,141596
,,,,
https://movie.douban.com/subject/3071604/,丹麦女孩,3071604,8.1,110607
,,,,
https://movie.douban.com/subject/1428175/,血钻,1428175,8.5,149097
,,,,
https://movie.douban.com/subject/3789848/,怪兽大学,3789848,8.1,209337
,,,,
https://movie.douban.com/subject/1306505/,红高粱,1306505,8.3,108405
,,,,
https://movie.douban.com/subject/1937946/,穿越时空的少女,1937946,8.6,205328
,,,,
https://movie.douban.com/subject/1303037/,喜宴,1303037,8.8,159311
,,,,
https://movie.douban.com/subject/1291824/,黑鹰坠落,1291824,8.6,130571
,,,,
https://movie.douban.com/subject/1433360/,雏菊,1433360,8,190390
,,,,
https://movie.douban.com/subject/3007773/,海盗电台,3007773,8.6,176519
,,,,
https://movie.douban.com/subject/1777612/,阳光小美女,1777612,8.2,175351
,,,,
https://movie.douban.com/subject/1395091/,未麻的部屋,1395091,8.8,113749
,,,,
https://movie.douban.com/subject/1295399/,七武士,1295399,9.2,88596
,,,,
https://movie.douban.com/subject/1307315/,哪吒闹海,1307315,8.9,92510
,,,,
https://movie.douban.com/subject/1300117/,千钧一发,1300117,8.7,96467
,,,,
https://movie.douban.com/subject/10535568/,阿黛尔的生活,10535568,8.3,114852
,,,,
https://movie.douban.com/subject/1292226/,2001太空漫游,1292226,8.7,105832
,,,,
https://movie.douban.com/subject/1291575/,玩具总动员,1291575,8.2,161121
,,,,
https://movie.douban.com/subject/1308865/,老男孩,1308865,8.2,158771
,,,,
https://movie.douban.com/subject/1959877/,悬崖上的金鱼姬,1959877,8.3,199594
,,,,
https://movie.douban.com/subject/1292523/,侏罗纪公园,1292523,8,177727
,,,,
https://movie.douban.com/subject/1857099/,老无所依,1857099,8.1,143565
,,,,
https://movie.douban.com/subject/1793491/,美食总动员,1793491,8.3,191993
,,,,
https://movie.douban.com/subject/10537853/,万箭穿心,10537853,8.5,99409
,,,,
https://movie.douban.com/subject/10437779/,新世界,10437779,8.6,98558
,,,,
https://movie.douban.com/subject/1291853/,英国病人,1291853,8.5,186705
,,,,
https://movie.douban.com/subject/1292329/,牯岭街少年杀人事件,1292329,8.8,120090
,,,,
https://movie.douban.com/subject/2297265/,浪潮,2297265,8.7,147511
,,,,
https://movie.douban.com/subject/26303622/,大空头,26303622,8.4,96524
,,,,
https://movie.douban.com/subject/1292208/,上帝之城,1292208,8.9,174360
,,,,
